Car Name,Description,Year,Price,Date,Location
Volkswagen VW CC 1.4 TSi,300 BİN PEŞİN 36 AY KREDİ | 2012 CC 1.4TSİ EXCLUSİVE+DSG+C.TAVAN,2012,845.000 TL,15 Mart 2024,İstanbul
Subaru Forester 2.0 TD Sport,Galeriden 2016 Subaru Forester 2.0 TDI,2016,1.250.000 TL,15 Mart 2024,İstanbul
Volkswagen Golf 1.4 TSi Highline,400 BİN PEŞİN 36 AY KREDİ | 2013 GOLF 7R+U LED+CAM TAVAN+DSG FUL,2013,925.000 TL,15 Mart 2024,İstanbul
Opel Mokka 1.2 T Elegance,HATASIZ BOYASIZ ARTI GARANTILI,2021,1.214.900 TL,15 Mart 2024,Erzurum
Fiat Egea 1.4 Fire Easy,ÖZSAĞLAM'dan 2020 Egea 1.4 LPG-Easy Plus-51binde-Boya-Tramer Yok,2020,675.000 TL,15 Mart 2024,Konya
Renault Megane 1.6 Alize,Galeriden Renault Megane 1.6 Alize 2001 Model Gaziantep,2001,300.000 TL,15 Mart 2024,Gaziantep
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,_MTN_GROUP*TAN_2015_VW_GOLF_1.6_TDİ_COMFORTLİNE_İLK_SAHİBİNDEN_ORJİNAL_69.000KM_BAKIMLI_!,2015,875.000 TL,15 Mart 2024,İstanbul
Fiat Doblo Combi 1.6 Multijet Premio Plus,İLK RUHSAT SAHİBİNDEN FULL SERVİS BAKIMLI FULL SERİ OTOMOBİL RUHSATLI FIAT DOBLO PREMIO,2016,565.000 TL,15 Mart 2024,Muğla
Renault Clio 1.0 TCe Joy,HATASİZ BOYASİZ 1.0 TCE MOTOR OTOMATİK VİTES ORJİNAL,2021,825.000 TL,15 Mart 2024,İstanbul
Renault Twingo 1.2 Pack,ÖZEL PLAKALI - KLİMALI - 1.2 TWİNGO BENZİN LPG,1997,220.000 TL,15 Mart 2024,Edirne
Kia Stonic 1.4 MPI Cool,EKİNCİLER_2023_24 BİN KM_BOYASIZ_GARANTİLİ_HATASIZ_STONİC_COOL_,2023,975.000 TL,15 Mart 2024,İstanbul
Fiat Egea 1.3 Multijet Easy,DÖNMEZ'DEN 2020 FIAT EGEA 1.3 MULTI- JET EASY BOYASIZ..!,2020,689.000 TL,15 Mart 2024,Bartın
Volkswagen Polo 1.6 Comfortline Classic,KUSURSUZZ,2001,330.000 TL,15 Mart 2024,Sakarya
Fiat Egea 1.6 Multijet Lounge,Sahibinden Fiat Egea 1.6 Multijet Lounge 2023 Model,2023,1.125.000 TL,15 Mart 2024,İstanbul
Mazda CX-3 1.5 SKY-D Power Sense Plus,Galeriden Mazda CX-3 1.5 SKY-D Power Sense Plus 2015 Model Eskişehir,2015,830.000 TL,15 Mart 2024,Eskişehir
Ford Focus 1.6 TDCi Trend,Galeriden Ford Focus 1.6 TDCi Trend 2006 Model Ankara,2006,400.000 TL,15 Mart 2024,Ankara
Volkswagen Tiguan 1.6 TDi Comfortline,Galeriden Volkswagen Tiguan 1.6 TDi Comfortline 2017 Model Kırıkkale,2017,1.165.000 TL,15 Mart 2024,Kırıkkale
Ford Focus 1.5 TDCi Trend X,Galeriden Ford Focus 1.5 TDCi Trend X 2020 Model Kırıkkale,2020,939.000 TL,15 Mart 2024,Kırıkkale
Honda Civic 1.6 i-VTEC ECO Elegance,Galeriden Honda Civic 1.6 i-VTEC ECO Elegance 2013 Model Kırıkkale,2013,859.000 TL,15 Mart 2024,Kırıkkale
Ford Transit Custom 320 S Trend,İSTİFOĞLU OTOMOTİV CUSTOM 320S TEKNO 3 PAKET 600 KM %20KDV 2022,2022,1.020.000 TL,15 Mart 2024,İstanbul
